date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:59:43	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/showroom.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/showroom.322.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/winners-preview.html)
22:59:43	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/showroom.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/showroom.323.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/winners-preview.html)
22:59:43	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/boutique/bespoke-boutique.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/boutique/bespoke-boutique.324.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/winners-preview.html)
23:00:05	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/showroom.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/showroom.325.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/history-of-moving-image-art.html)
23:00:05	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/showroom.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/showroom.326.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/history-of-moving-image-art.html)
23:00:06	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/boutique/bespoke-boutique.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/boutique/bespoke-boutique.327.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/history-of-moving-image-art.html)
23:00:33	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/showroom.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/showroom.328.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/history-of-moving-image-art-part-two.html)
23:00:33	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/showroom.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/showroom.329.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/history-of-moving-image-art-part-two.html)
23:00:34	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/boutique/bespoke-boutique.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/boutique/bespoke-boutique.32a.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/history-of-moving-image-art-part-two.html)
23:00:59	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/showroom.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/showroom.32b.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/winners-dream-commission.html)
23:00:59	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/showroom.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/showroom.32c.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/winners-dream-commission.html)
